LOS Supported?,Field ID,1003 Section,Data Stream,Position,Field Length,# Occurrences,Field Information,Value(s)/EDI Code(s),"Desktop
Underwriter (DU)",Government (G),"Credit
Request (CR)",EarlyCheck (EC),Root Element:  <LOAN_APPLICATION>
,PAJ-040,Payment Adjustments,Payment Adjustment Frequency,11,3,,"The number of months for which the payment adjustment will be effective.

n (Months) ? Between Adjustments After First Adjustment",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT SubsequentPaymentAdjustmentMonths>
,PAJ-050,Payment Adjustments,Payment Adjustment Type Code,14,1,,Indicates if the payment adjustment is a percentage or a dollar amount.,"1 = Percent To Adjust Payment Amount
2 = Percent To Adjust Payment Rate
3 = Dollar Adjust To Payment Amount",,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _CalculationType>
,PAJ-060,Payment Adjustments,Payment Adjustment Percent,15,7,,"The scheduled payment increase/decrease amount for this occurrence of a payment change, expressed as a percentage.

Format: Z(3).Z(3)",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _Percent>
,PAJ-070,Payment Adjustments,Payment Adjustment Amount,22,15,,"The scheduled payment increase/decrease amount for this occurrence of a payment change, expressed as a dollar amount.

Format: Z(12.Z(2)",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _Amount>
,PAJ-080,Payment Adjustments,Payment Adjustment Percent Cap,37,7,,"The payment adjustment cap for this occurrence of a payment change, expressed as a percentage.

Format: Z(3).Z(3)

Specify if field PAJ-050 = 1 or 2",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _PeriodicCapPercent>
,PAJ-090,Payment Adjustments,Payment Adjustment Amount Cap,44,15,,"The payment adjustment amount cap per change, expressed as a dollar amount.

Format: Z(12).Z(2)

Required if field PAJ-050 = 3",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _PeriodicCapAmount>
,PAJ-100,Payment Adjustments,Months To First Payment Adjustment,59,3,,"The number of months from the first payment until the first payment adjustment.

Format: n (Months)",,,,,,
,,,<N/L>,,,,End of record: Length=61,,,,,,
,RAJ-010,Rate,RAJ,1,3,M,"Record ID: Rate Adjustment Occurrences

Specify if Field #01A-090 = 01 for ARM and if the ARM will have rate adjustments. NOT REQUIRED.",,,,,,
,RAJ-020,Rate Adjustment,Rate Adjustment Period Number,4,4,,"The sequence number of the rate adjustment information for the loan, if there are more than one rate adjustments.

Format: n",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT _PeriodNumber>
,RAJ-030,Rate Adjustment,Rate Adjustment Duration,8,3,,"The number of months for which the rate adjustment will be effective.

Total Adjustment Period

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT _DurationMonths>
,RAJ-040,Rate Adjustment,Rate Adjustment Frequency,11,3,,"Frequency of the adjustments during the adjustment period.

Between Adjustments After First Adjustment

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT SubsequentRateAdjustmentMonths>
,RAJ-050,Rate Adjustment,Rate Adjustment Calculation Method Code,14,1,,Indicates the method for calculating the new adjusted rate at each rate change.,"0 = Add % to Current Rate
1 = Add % to Original Rate
2 = Index + Margin",,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT _CalculationType>
,RAJ-060,Rate Adjustment,Rate Adjustment Percent,15,7,,"Percentage to be used for the rate adjustment. Depending on the calculation method, this may be a percentage added to the current rate or it may be a percentage added to the original rate.

Format: Z(3).Z(3); Max length = 7",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT _Percent>
,RAJ-070,Rate Adjustment,Rate Adjustment Cap,22,7,,"The cap on the percentage rate increase allowed for the loan, per change.

Format: Z(3).Z(3); Max length = 7",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT _SubsequentCapPercent>
,RAJ-080,Rate Adjustment,Months To First Rate Adjustment,29,3,,"The number of months from the first payment until the first rate adjustment.

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA RATE_ADJUSTMENT FirstRateAdjustmentMonths>
,,,<N/L>,,,,End of record: Length=31,,,,,,
,BUA-010,Buydown,BUA,4,3,S,Record ID: Buydown Data,,,,,,
,BUA-020,Buydown,Buydown Frequency,4,3,,"The time interval between interest rate increases during the buydown period. For example, if the interest rate increases annually during a two-year buydown, the frequency of interest rate change is 12 months.

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA BUYDOWN _ChangeFrequencyMonths>
,BUA-030,Buydown,Buydown Duration,7,3,,"The period of time (counted in months) from the Base Date during which the interest rate buydown is in effect.

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA BUYDOWN _DurationMonths>
,BUA-040,Buydown,Increase Rate,10,7,,"The amount by which the interest rate can increase or decrease at each adjustment period within the buydown duration; If a decrease is entered, it should be entered as a negative amount.

Format:  -Z(2).Z(3) Negative or positive number allowed.",,,,,,<LOAN_PRODUCT_DATA BUYDOWN _IncreaseRatePercent>
,BUA-050,Buydown,Funding Code,17,1,,Indicates whether or not the lender is funding the Interest Rate Buydown.,"Y = Yes
N = No",,,,,<LOAN_PRODUCT_DATA BUYDOWN _LenderFundingIndicator>
,BUA-060,Buydown,Buydown Base Date Code,18,1,,"A code indicating the date from which the duration of the buydown is counted.

Note: This field is not currently used.","0 = Note Date
1 = First Payment Date
2 = Last Payment Date",,,,,<LOAN_PRODUCT_DATA BUYDOWN _BaseDateType>
,BUA-070,Buydown,Buydown Type Indicator (Perm. Or Temp.),19,1,,Indicates whether the buydown is permanent or temporary.,"0 = Permanent
1 = Temporary",,,,,<LOAN_PRODUCT_DATA BUYDOWN _PermanentIndicator>
,,,<N/L>,,,,End of record: Length=19,,,,,,
,000-010,,000,1,3,S,Record ID: File Identification,,,R,,,
,000-020,,File Type,4,3,,,20 = Government Data,,R,,,No Corresponding MISMO Attribute
,000-030,,File Version ID,7,5,,File Version,3.20,,R,,,No Corresponding MISMO Attribute
,,,<N/L>,,,,End of record: Length=26,,,,,,
,IDA-010,Identification,000,1,3,S,Record ID: Casefile Identification,,,R,,,
,IDA-020,Identification,Filler,4,23,,Reserved for future use - fill with blanks.,,,,,,
,,,<N/L>,,,,End of record: Length=26,,,,,,
,LEA-010,Lender,LEA,1,3,S,Record ID: Lender Data,,,R,,,
,LEA-020,Lender,FHA Lender Identifier,4,20,,"Maximum 10 digits in length - no dashes or spaces, matches HUD issued FHA Lender Identifier format.

Format: n

Government Loans:
Required if the loan type is FHA. The FHA Lender Identifier is the originator making the U/W request. Submitted to the FHA TOTAL Scorecard. FHA will validate Lender ID.

Only pass FHA Lender Identifier if you are a FHA endorsed underwriter. Required for FHA U/W.",,,C,,,<GOVERNMENT_LOAN FHA_LOAN _LenderIdentifier>
,LEA-030,Lender,FHA Sponsor Identifier,24,20,,"Maximum 10 digits in length- no dashes or spaces, matches HUD issued FHA Sponsor Identifier format.

Format: n

Government Loans :
Required if the loan type is FHA and the originator is not a Direct Endorsement approved lender. Submitted to the FHA TOTAL Scorecard. FHA will validate the Sponsor ID.

Pass both the FHA Sponsor ID (LEA-030) and the Sponsored EIN LEA-040) if you are not a Direct Endorsement approved lender.",,,C,,,<GOVERNMENT_LOAN FHA_LOAN _SponsorIdentifier>
,LEA-040,Lender,Sponsored Originator EIN,44,10,,"Sponsored Originator EIN

Format: Z(9)


Pass Sponsored EIN (LEA-040) and FHA Sponsor Identifier
(LEA-030) if you are not a Direct Endorsement approved lender.",,,C,,,<GOVERNMENT_LOAN FHA_LOAN _SponsoredOriginatorEIN>
,LEA-050,Lender,Filler,54,13,,"Reserved for future use, fill with blanks.",,,,,,
,,,<N/L>,,,,End of record: Length=66,,,,,,
,GOA-010,Government,GOA,1,3,S,Record ID: Both FHA/VA Loans,,,R,,C,
,GOA-020,Government,Energy Efficient New Home,4,1,,This field is not used for underwriting.,"Y = Yes
N = No",,,,,<GOVERNMENT_LOAN FHA_VA_LOAN PropertyEnergyEfficientHomeIndicator>
,GOA-030,Government,MCC,5,15,,"Mortgage Credit Certificate

Format: Z(12).Z(2)

For an FHA loan, the dollar amount from the MCC should be entered in this field as a monthly amount. The amount of the MCC will be subtracted from the mortgage payment. This field should only be completed if the funds are coming from a MCC issued by a federal, state, or local agency. All other housing allowances should be entered as other income in Section V. 

For a VA loan, the dollar amount from the MCC should be entered in this field as a monthly amount. The amount of the MCC will be added to the residual income, subject to the $2000 annual ($167 monthly) limit.",,,C,,,<GOVERNMENT_LOAN FHA_VA_LOAN GovernmentMortgageCreditCertificateAmount>
,GOA-040,Government,Seller Concessions,20,15,,"Format: Z(12).Z(2)


For an FHA loan, the amount of the seller contributions above the allowed 6% seller contribution which will be paid by the seller of the property should be entered in this field. In addition, any true seller concessions such as an allowance furniture, carpeting, decorator allowances, giveaways, or other sales incentives from the sales contract are also included here. True concessions should be subtracted from the sales price with the LTV calculated from the adjusted sales prices.

For a VA loan, the amount of the concessions (other than normal discount points and closing costs) that will be paid by the seller or other party should be entered in this field.


Required if applicable to the Casefile. This includes anything over the 6% contribution for an FHA loan (or over the 4% of reasonable and customary contributions for a VA loan) or an outright concession.",,,C,,,<TRANSACTION_DETAIL SalesConcessionAmount>
,GOA-050,Government,Borrower Total Closing Costs Fees,35,15,,"Format: Z(12).Z(2)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-060,Government,Borrower Total Closing Costs Points (%),50,7,,"Format: Z(3).Z(3)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-070,Government,Seller Total Closing Costs Fees,57,15,,"Format: Z(12).Z(2)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-080,Government,Seller Total Closing Costs Points (%),72,7,,"Format: Z(3).Z(3)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-090,Government,Other Total Closing Costs Fees,79,15,,"Format: Z(12).Z(2)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-100,Government,Other Total Closing Costs Points (%),94,7,,"Format: Z(3).Z(3)

This field is not considered for government underwriting.",,,,,,No Corresponding MISMO Attribute
,GOA-110,Government,Type of Refinance,101,1,,"Indicates the type of documentation for no cash out refinance loans.

Streamline with Appraisal (FHA Only)- invalid for FHA loans, no longer supported as of DU v10.1 July 2017.

HOPE for Homeowners (FHA Only)- no longer valid for FHA loans as
of DU 10.1 release, July 2017. Marked for removal in a future release.  
","Fannie Mae Type of Refinance Code:

1 = Full Documentation (FHA and VA)
2 = Streamline with Appraisal (FHA only)
3 = Streamline without Appraisal (FHA onl y)
4 = Interest Rate Reduction Refinance Loan (VA Only)
H = HOPE for Homeowners (FHA Only) 
R = Prior FHA (FHA only)",,C,,C,<GOVERNMENT_LOAN FHA_VA_LOAN GovernmentRefinanceType>
,GOA-120,Government,Property County,102,35,,"Format: Text

Note: This field will no longer be used.",,,,,,<PROPERTY _County>
,,,<N/L>,,,,End of record: Length=136,,,,,,
,GOB-010,Government,GOB,1,3,S,,,,C,,C,
,GOB-020,Government,FHA Section of the Act Codes,4,13,,"The section of the National Housing Act used in underwriting 
government loans. This code identifies the underwriting guidelines 
that should be used for loan evaluation.


Format: Text


Required for FHA Loans

HOPE for Homeowners (FHA Only)-no longer valid for FHA loans 
as of DU v10.1 Release, July 2017","FHA Section of the Act Codes:
203(b) = Basic Program, Purchase, Refis
203(k) = Purchase, Rehab
203(k) = Purchase, Rehab
203(k)/251 = Purchase, Rehab/ARM
234(c) = Condominium
234(c)/251 = Condominium/ARM
257 = HOPE for Homeowners (no longer supported)",,C,,C,<GOVERNMENT_LOAN FHA_LOAN SectionOfActType>
,GOB-030,Government,Allowable Repairs,17,15,,This field is not used for underwriting.,,,,,,
,GOB-040,Government,MIP Upfront (%),32,7,,This field is not used for underwriting.,,,,,,
,GOB-050,Government,MIP Refund Amount,39,15,,"For refinance loans, the amount of MIP that will be refunded to the
borrower; Must be a whole number; Used for FHA loans.

Format:  Z(12).Z(2)

Required if applicable for FHA refinances
",,,C,,,<GOVERNMENT_LOAN FHA_LOAN FHA_MIPremiumRefundAmount>
,GOB-060,Government,First Renewal Rate (%),54,7,,This field is not used for underwriting.,,,,,,
,GOB-070,Government,"Reserved for future use

(First Renewal Rate (Months).",61,3,,"Format: Z(3)

This field is not used for underwriting.",,,,,,
,,,<N/L>,,,,End of record: Length=63,,,,,,
,GOC-010,Government,GOC,1,3,S,"Record ID: VA Loans Only

Required for VA loans",,,C,,,<GOVERNMENT_LOAN VA_LOAN >
,GOC-020,Government,CoBorrower Married to Primary Borrower,4,1,,"Indicates whether the co-borrower is married to the borrower.

Required for VA loans if applicable to casefile.","Y = Yes
N = No",,C,,,<GOVERNMENT_LOAN VA_LOAN VABorrowerCoBorrowerMarriedIndicator>
,GOC-030,Government,Entitlement Amount,5,15,,"The dollar amount guaranteed by the VA to the veteran borrower.

Format Z(12).Z(2)",,,C,,,<GOVERNMENT_LOAN VA_LOAN VA EntitlementAmount>
,GOC-040,Government,Monthly Maintenance,20,7,,"The estimated dollar amount of monthly maintenance expense.

Format:  Z(4).Z(2)

Required for VA loans if applicable to the casefile. From the Estimated Monthly Shelter Expenses section of the VA Loan Analysis Worksheet.
",,,C,,,<GOVERNMENT_LOAN VA_LOAN VAMaintenanceExpenseMonthlyAmount>
,GOC-050,Government,Monthly Utilities,27,7,,"The estimated dollar amount of monthly utilities. 
For VA loans.

Format:  Z(4).Z(2)

Required for VA loans if applicable to the casefile
(From the Estimated Monthly Shelter Expenses section on the VA Loan Analysis Worksheet.).",,,C,,,<GOVERNMENT_LOAN VA_LOAN VAUtilityExpenseMonthlyAmount>
,GOC-060,Government,Funding Fee (%),34,7,,"The funding fee percentage due from the borrower. The fee is entered as a percentage. The dollar amount is automatically calculated by the system. For VA loans.

This field is not used for underwriting.",,,,,,
,,,<N/L>,,,,End of record: Length=40,,,,,,
,GOD-010,Government,GOD,1,3,SA,"Record ID: VA Loans Only

Required for VA Loans",,,C,,,
,GOD-020,Government,Applicant Social Security Number,4,9,,"Format: n

Required for VA Loans",,,C,,,
,GOD-030,Government,Total Tax,13,15,,"Use this field to pass the TOTAL DEDUCTIONS (Federal, State, Retirement/Social Security, and/or Other) from Monthly Income and Deductions Section of the VA Loan Analysis Worksheet.

Format: Z(12).Z(2)

Required for VA Loans

Note: Submit total amount for federal, state, local, and social security taxes (GOD-030 + GOD-040, GOD-050, and GOD-060).",,,C,,,<BORROWER VA_BORROWER VAFederalTaxAmount>
,GOD-040,Government,State Tax,28,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VAStateTaxAmount>
,GOD-050,Government,Local Income Tax,43,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VALocalTaxAmount>
,GOD-060,Government,Social Security Tax,58,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VASocialSecurityTaxAmount>
,GOD-070,Government,Total Non-Taxable Income -- Primary,73,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VAPrimaryBorrowerNonTaxableIncomeAmount>
,GOD-080,Government,Total Non-Taxable Income -- Other,88,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VACoBorrowerNonTaxableIncomeAmount>
,GOD-090,Government,Total Taxable Income -- Primary,103,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VAPrimaryBorrowerTaxableIncomeAmount>
,GOD-100,Government,Total Taxable Income -- Other,118,15,,"Format: Z(12).Z(2)

This field is NOT used for underwriting.",,,,,,<BORROWER VA_BORROWER VACoBorrowerTaxableIncomeAmount>
,,,<N/L>,,,,End of record: Length=132,,,,,,
,GOE-010,Government,GOE,1,3,SA,"Record ID: Credit Data

Both FHA/VA Loans",,,R,,,
,GOE-020,Government,Applicant Social Security Number,4,9,,Format: n,,,R,,,
,GOE-030,Government,CAIVR #,13,10,,"Assigned by HUD?s Credit Alert Interactive Voice Response System, an interactive system used to check applicant?s outstanding federal obligations.

Format: Text",,,,,,<BORROWER FHA_VA_BORROWER CAIVRSIdentifier>
,GOE-040,Government,Borrower Credit Rating,23,3,,"A code supplied by Fannie Mae, which corresponds to the borrower?s credit history.",,,,,,<BORROWER FHA_VA_BORROWER FNMBorrowerCreditRating>
,GOE-050,Government,Bankruptcy < 3 years,26,3,,Number of times filed for bankruptcy within the last three years.,,,,,,<BORROWER FHA_VA_BORROWER FNMBankruptcyCount>
,GOE-060,Government,Foreclosure,29,3,,Total number of times previous lenders have foreclosed on property.,,,,,,<BORROWER FHA_VA_BORROWER FNMForeclosureCount>
,GOE-070,Government,First Time Homebuyer Counsel Type,32,1,,"Type of counseling for first time homebuyers.

Required if applicable for FHA",""" "" (Blank) = N/A
A = Not Counseled
D = HUD Approved Counseling Agency",,C,,,<BORROWER FHA_VA_BORROWER FirstTimeHomebuyerCounselType (Was FNM Credit Report Score Type)>
,,,<N/L>,,,,End of record: Length=32,,,,,,
,000-010,,000,1,3,S,Record ID: File Identification,,CL,,,,
,000-020,,File Type,4,3,,,30 = Community Lending Data,CL,,,,No Corresponding MISMO Attribute
,000-030,,File Version ID,7,5,,File Version,3.20,CL,,,,No Corresponding MISMO Attribute
,,,<N/L>,,,,End of record: Length=11,,,,,,
,LMD-010,Comm Lending,LMD,1,3,S,"Record ID: Community Lending Loans

Required for Community Lending",,CL,,,C,
,LMD-020,Comm Lending,County,4,40,,"Identifies the county in which the subject property is located.

Format: Text",,,,,,<AFFORDABLE_LENDING MSAIdentifier>
,LMD-030,Comm Lending,Community Lending Product,44,2,,"The name of the Fannie Mae community-lending product associated with the loan.

MyCommunityMortgage valid through DU v9.2 (add date 2015
HomeReady available as of DU v9.3 (12/12/2015)","Fannie Mae Code 2010:

04 = MyCommunityMortgage
06 = HFA Preferred Risk Sharing
07 = HFA Preferred
08 = HomeReady",CL,,,C,<AFFORDABLE_LENDING FNMCommunityLendingProductType>
,LMD-035,Comm Lending,Community Seconds Repayment Structure,46,38,,"Indicates the payment structure of the Community Seconds lien

Left ?justify, no trailing spaces","01 = Any payment (including interest only, P&I, etc.) required within first 5 years
02 = Payments deferred 5 or more years and fully forgiven
03 = Payments deferred 5 or more years and not fully forgiven
",C,,,,<AFFORDABLE_LENDING FNMCommunitySecondsRepaymentStructure>
,LMD-040,Comm Lending,Fannie Neighbors Eligible,84,1,,"Indicates whether the loan is eligible to be a Fannie Neighbors mortgage: e.g. Conventional fixed-rate first mortgage secured by single-family residences that are located within the incorporated city limits of a designated central city or eligible low-income or minority census tract.
Per DU 9.0, FannieNeighbors? option retired.
","Y = Yes
N = No",,,,,<AFFORDABLE_LENDING FNMNeighborsMortgageEligibilityIndicator>
,LMD-050,Comm Lending,Community Seconds,85,1,,"Indicates whether the loan is a Community Seconds, e.g. a community lending model under which Fannie Mae purchases a first mortgage that has a subsidized second mortgage behind it. A second mortgage may be issued by state, county, or local housing agency or a nonprofit organization).

Required for Community Lending Products if applicable to the Casefile.","Y Yes
N No",C,,,,<AFFORDABLE_LENDING FNMCommunitySecondsIndicator>
,LMD-060,Comm Lending,HUD Median Income,86,15,,"Format:  Z(12).Z(2)
Not used for import.
",,,,,,<AFFORDABLE_LENDING HUDMedianIncomeAmount>
,LMD-060,Comm Lending,HUD Median Income,,,,Borrowers generally must have incomes no greater than 115% of the median income that HUD publishes for the area in which they reside.,,,,,,<AFFORDABLE_LENDING HUDMedianIncomeAmount>
,LMD-070,Comm Lending,Income Limit Adjustment Factors,101,15,,"Format:  Z(12).Z(2)
Not used for import.

HUD?s estimated median family income is used to determine borrower eligibility for affordable loan products. The Metropolitan Statistical Area or County Name (LMD-020) provided or automatically looked up by DU Knowledgebase is used to determine the HUD Median Income (LMD-060). LMD-060 and Income Limit Adjustment Factors (LMD-070) are multiplied to determine the Community Lending Income Limit (LMD-080).

Borrowers generally must have income no greater than 115% of the median income that HUD publishes for the area in which they reside.",,,,,,<AFFORDABLE_LENDING HUDIncomeLimitAdjustmentFactor>
,LMD-080,Comm Lending,Community Lending Income Limit,116,15,,"Format:  Z(12).Z(2)
Not used for import.
",,,,,,<AFFORDABLE_LENDING HUDLendingIncomeLimitAmount>
,LMD-080,Comm Lending,Community Lending Income Limit,,,,"Automatically populated based on multiplying fields HUD Median Income (LMD-060) and Income Limit Adjustment Factors (LMD-070).
",,,,,,<AFFORDABLE_LENDING HUDLendingIncomeLimitAmount>
,LMD-080,Comm Lending,Community Lending Income Limit,,,,"Note: If provided, Fannie Mae KnowledgeBase will not consider value provided by user for underwriting calculation.",,,,,,<AFFORDABLE_LENDING HUDLendingIncomeLimitAmount>
,,,<N/L>,,,,End of record: Length=130,,,,,,
,TT-010,Transaction Trailer, 'TT',1,3,S,Record ID: Transaction Trailer,,R,R,R,R,
,TT-020,Transaction Trailer,Transaction Control Number,4,9,,"Text - User Supplied on Import - Must match Control Number in TH.
System Generated on Export",,R,R,R,R,
,,,<N/L>,,,,End of record: Length=12,,,,,,
,ET-010,Env. Trailer, 'ET',1,3,S,Record ID: Envelope Trailer,,R,R,R,R,
,ET-020,Env. Trailer,Envelope Control Number,4,9,,"Text - User Supplied on Import ? Must match Control Number in EH.
System Generated on Export",,R,R,R,R,
,,,<N/L>,,,,End of record: Length=12,,,,,,
